,Username,Date,Text,Compound Score,Negative Score,Neutral Score,Positive Score,Tweets Ago
11,BBC,Mon Apr 09 20:33:33 +0000 2018,Three Britons injured in Malta bus crash https://t.co/32aIPZZQG1,-0.6597,0.474,0.526,0.0,12
12,BBC,Mon Apr 09 20:08:24 +0000 2018,RT @BBCBreaking: Russia and the US exchange fierce words at UN over suspected Syria chemical weapons attack https://t.co/mRIs1pyHPx,-0.7845,0.345,0.655,0.0,13
13,BBC,Mon Apr 09 18:44:47 +0000 2018,Schools 'to drop gathering nationality data' https://t.co/4Z80G1dJVT,-0.2732,0.259,0.741,0.0,14
14,BBC,Mon Apr 09 17:33:37 +0000 2018,Olympic rower Helen Glover announces she has lost twin https://t.co/Dej8mUmaqB,-0.3182,0.204,0.796,0.0,15
15,BBC,Mon Apr 09 16:58:41 +0000 2018,Man charged over 'racist' letter to MSP https://t.co/M9YlQdZTjE,-0.2023,0.205,0.795,0.0,16
16,BBC,Mon Apr 09 16:58:00 +0000 2018,RT @davidshukmanbbc: Incredible scale of cargo ships. Watch our story on shipping and climate change on #BBCNewsSix https://t.co/YaZjm1qv76,0.0,0.0,1.0,0.0,17
17,BBC,Mon Apr 09 16:57:03 +0000 2018,"Home Office investigates personal documents sent to wrong address
https://t.co/BTLtt6UGNJ",-0.4767,0.256,0.744,0.0,18
18,BBC,Mon Apr 09 16:34:45 +0000 2018,Rise in numbers of Britons becoming EU citizens in 2016 https://t.co/sxekW9QVaM,0.0,0.0,1.0,0.0,19
19,BBC,Mon Apr 09 16:11:06 +0000 2018,Hither Green burglary suspect hunted by Met Police https://t.co/4g4JZzxXsd,-0.296,0.216,0.784,0.0,20
20,BBC,Mon Apr 09 14:41:54 +0000 2018,Bristol Airport parking firm 'fails to return cars' https://t.co/s0Kdu7IO7E,-0.4215,0.259,0.741,0.0,21
21,BBC,Mon Apr 09 13:31:05 +0000 2018,Royal wedding: Prince Harry and Meghan Markle ask for charity donations not gifts https://t.co/vJIiZxlvG1,0.4215,0.0,0.823,0.177,22
22,BBC,Mon Apr 09 13:28:19 +0000 2018,"RT @BBC_HaveYourSay: Are you getting married on the day of the #RoyalWedding on May 19? 

Maybe you are... 
celebrating a multicultural or…",0.5719,0.0,0.844,0.156,23
23,BBC,Mon Apr 09 13:21:49 +0000 2018,Theresa May condemns 'barbaric attack' in Syria https://t.co/chRytcTHjm,-0.7506,0.516,0.484,0.0,24
24,BBC,Mon Apr 09 13:17:08 +0000 2018,"Prime Minister @theresa_may says UK ""utterly condemns use of chemical weapons"" following Douma poison gas attack, a… https://t.co/aEvlAGxUBj",-0.92,0.483,0.517,0.0,25
25,BBC,Mon Apr 09 13:09:17 +0000 2018,Durham police criticised over 'crude' profiling https://t.co/QXDXd1ndO4,-0.4215,0.318,0.682,0.0,26
26,BBC,Mon Apr 09 12:54:19 +0000 2018,"How was information from @facebook users handled by Cambridge Analytica, and why does it matter? https://t.co/sUrGSp1QWE",0.0258,0.0,0.932,0.068,27
27,BBC,Mon Apr 09 12:42:58 +0000 2018,"RT @BBCSport: Day 5 - Commonwealth Games 
#GC2018 

Akani Simbine shocked Yohan Blake to win the men's 100m, with Michelle-Lee Ahye making…",0.3612,0.095,0.747,0.158,28
28,BBC,Mon Apr 09 12:25:42 +0000 2018,Sir Nick Clegg: Breakaway party 'highly likely' https://t.co/KJUCDQEmc0,0.4019,0.0,0.722,0.278,29
29,BBC,Mon Apr 09 11:40:15 +0000 2018,Air traffic controller sickness forces Gatwick Airport runway to close https://t.co/4LZW2ePzFm,0.0,0.0,1.0,0.0,30
30,BBC,Mon Apr 09 11:38:44 +0000 2018,"Home Secretary @AmberRuddHR calls on social media sites to take action and ""not host content linked to gang violenc… https://t.co/DSAtiYpJHJ",0.0,0.0,1.0,0.0,31
31,BBC,Mon Apr 09 11:27:57 +0000 2018,Funding announced for 'prevention programmes' for young people at risk of getting involved in violence - Home Secre… https://t.co/yHAWEpVeBR,-0.7351,0.279,0.721,0.0,32
32,BBC,Mon Apr 09 11:25:20 +0000 2018,"""I stand fully behind stop and search and I see it as a vital tool for the police"" 

Home Secretary @AmberRuddHR… https://t.co/Y5YiyLT4e1",-0.0717,0.109,0.794,0.097,33
33,BBC,Mon Apr 09 11:23:13 +0000 2018,"""We will focus on reducing the number of people who take drugs"" 

Home Secretary @AmberRuddHR on new strategy for d… https://t.co/qNgLwVJujf",0.0772,0.0,0.939,0.061,34
34,BBC,Mon Apr 09 10:55:32 +0000 2018,Evidence does not support claim of fewer police officers - Home Secretary @AmberRuddHR announcing new measures to t… https://t.co/wjKF0fVJNE,-0.3089,0.117,0.883,0.0,35
35,BBC,Mon Apr 09 10:35:45 +0000 2018,Four people in 'unbelievable' escape as wood skewers car https://t.co/zMnaUuWA2j,0.1779,0.0,0.841,0.159,36
36,BBC,Mon Apr 09 10:35:45 +0000 2018,Loyalist paramilitary groups 'to support rule of law' https://t.co/c4XNVhCoGl,0.6369,0.0,0.574,0.426,37
37,BBC,Mon Apr 09 10:18:50 +0000 2018,Boy dies after falling ill in Edinburgh street https://t.co/P8cNqWyFwV,-0.5267,0.386,0.614,0.0,38
38,BBC,Mon Apr 09 09:55:49 +0000 2018,RT @BBCEngland: A council introduces fines of £80 for anyone caught feeding pigeons in a town centre after the birds were blamed for damagi…,-0.4767,0.129,0.871,0.0,39
39,BBC,Mon Apr 09 09:55:38 +0000 2018,"RT @VictoriaLIVE: Children as young as 3 years old should have lessons to tackle gang violence - our debate panel suggests.

https://t.co/G…",-0.6249,0.177,0.823,0.0,40
40,BBC,Mon Apr 09 09:50:03 +0000 2018,Cassie Hayes: Man admits murdering travel agent https://t.co/dYiJhHJjMm,-0.4767,0.344,0.48,0.176,41
41,BBC,Mon Apr 09 09:35:49 +0000 2018,"RT @VictoriaLIVE: A devastated mum describes the reality of knife crime - the heartbroken families left behind.

See our film &gt;&gt; https://t.…",-0.9153,0.41,0.59,0.0,42
42,BBC,Mon Apr 09 09:33:01 +0000 2018,"RT @BBCSport: World record alert! 🚨

With her first throw, Holly Robinson sets a new record of 43.32m in the women's F47 javelin.

The prev…",0.3595,0.0,0.898,0.102,43
43,BBC,Mon Apr 09 09:32:57 +0000 2018,"RT @BBCSport: 🥈 It's silver for Sarah-Jane Perry.

What a nail-biting finish to an amazing match. 

Joelle King becomes New Zealand's first…",0.5859,0.0,0.833,0.167,44
44,BBC,Mon Apr 09 09:02:24 +0000 2018,One man hurt after 'partial building collapse' in Aberdeen https://t.co/7SblVoVGzo,-0.765,0.452,0.548,0.0,45
45,BBC,Mon Apr 09 08:57:32 +0000 2018,"RT @BBCSportWales: A first gymnastics medal for Wales at the Gold Coast!

Latalia Bevan wins silver in the women's floor exercise

More her…",0.7959,0.0,0.738,0.262,46
46,BBC,Mon Apr 09 08:57:14 +0000 2018,"RT @BBCSport: 🏴󠁧󠁢󠁥󠁮󠁧󠁿 It's bronze for England!

The men's table tennis team join the women in claiming bronze.

#GC2018 https://t.co/NwnVMx…",0.3595,0.0,0.884,0.116,47
47,BBC,Mon Apr 09 08:11:46 +0000 2018,Toddler dies and mother critical in Coventry crash https://t.co/tNZIbd0O8A,-0.6124,0.417,0.583,0.0,48
48,BBC,Mon Apr 09 08:11:46 +0000 2018,Man shot dead by police in Romford https://t.co/tgCIVIwE8w,-0.6486,0.381,0.619,0.0,49
49,BBC,Mon Apr 09 08:08:59 +0000 2018,Man charged after pregnant mum attacked by burglar https://t.co/Jdj03Tqp2y,-0.5859,0.407,0.593,0.0,50
50,BBC,Mon Apr 09 07:48:12 +0000 2018,"RT @BBCSport: He's done it.

England's Nile Wilson wins his third gold medal of #GC2018.

The horizontal bar takes his medal tally to five…",0.872,0.0,0.68,0.32,51
51,BBC,Mon Apr 09 07:48:00 +0000 2018,"RT @BBCSport: More success for England in the horizontal bar.

James Hall takes silver to take his tally to three medals for #GC2018. https…",0.6115,0.0,0.852,0.148,52
52,BBC,Mon Apr 09 07:37:11 +0000 2018,"RT @BBCSport: 📢 More live sport coming up!

England are about to face Australia in the women's basketball.🏀

Watch all the LIVE action here…",0.0,0.0,1.0,0.0,53
53,BBC,Mon Apr 09 07:37:07 +0000 2018,"RT @BBCSport: England claimed a bronze medal in the badminton mixed team event, seeing off Singapore to take a place on the podium.
More: h…",0.4767,0.0,0.876,0.124,54
54,BBC,Mon Apr 09 06:25:35 +0000 2018,"RT @BBCSport: Commonwealth Games #GC2018

So far on Day 5 
England 🥇🥈🥈🥉🥉🥉
Scotland 🥈🥉
Wales 🥇🥉
Northern Ireland 

The home nations gymnasts…",0.0,0.0,1.0,0.0,55
55,BBC,Mon Apr 09 03:52:05 +0000 2018,Harriet Harman accepts Tory MP Kemi Badenoch's hacking apology https://t.co/n3WPSFxiL9,0.3612,0.0,0.696,0.304,56
56,BBC,Mon Apr 09 02:29:28 +0000 2018,"Care savings limit in Wales is raised to £40,000 https://t.co/OTGLs9qHm6",0.4939,0.0,0.738,0.262,57
57,BBC,Mon Apr 09 02:26:43 +0000 2018,Film urges CPR to the tune of Proclaimers' hit '500 miles' https://t.co/JGKv9NaCo2,0.0,0.0,1.0,0.0,58
58,BBC,Mon Apr 09 02:26:43 +0000 2018,"Police cuts 'likely contributed' to violence rise, document says https://t.co/AeBmq1Ys9d",-0.743,0.441,0.559,0.0,59
59,BBC,Sun Apr 08 23:44:27 +0000 2018,"Prostate cancer: Four in 10 cases diagnosed late, charity says https://t.co/JBseylXTTJ",-0.3818,0.272,0.556,0.173,60
60,BBC,Sun Apr 08 18:48:06 +0000 2018,Two men dead after Edgware 'carbon monoxide leak' https://t.co/RLLdCv2WM7,-0.7717,0.489,0.511,0.0,61
61,BBC,Sun Apr 08 18:20:16 +0000 2018,"RT @BBCSport: Day 4 - Commonwealth Games #GC2018 

Rhys McClenaghan secured Northern Ireland's first medal of the 2018 Commonwealth Games 🏅…",0.7003,0.0,0.746,0.254,62
62,BBC,Sun Apr 08 18:11:22 +0000 2018,"Hackney stabbing: Second stab death suspect 'at large', police say https://t.co/UBc0z1ANNG",-0.872,0.553,0.447,0.0,63
63,BBC,Sun Apr 08 15:51:58 +0000 2018,RT @BBC_HaveYourSay: Are you coming to Windsor to watch the #RoyalWedding in May? Where are you travelling from? Would you consider yoursel…,0.0,0.0,1.0,0.0,64
64,BBC,Sun Apr 08 15:46:10 +0000 2018,Sunday Times' Rod Liddell 'mocks Wales' over Severn crossing renaming https://t.co/2hok9ikQQi,-0.4588,0.231,0.769,0.0,65
65,BBC,Sun Apr 08 15:19:02 +0000 2018,Fishermen protest over lack of control of UK waters post-Brexit https://t.co/jQRhEijGcD,-0.5106,0.323,0.677,0.0,66
66,BBC,Sun Apr 08 14:36:51 +0000 2018,UK wife-carrying contest takes place in Dorking https://t.co/wGxmIhLeg3,0.0,0.0,1.0,0.0,67
67,BBC,Sun Apr 08 13:00:04 +0000 2018,"RT @BBCSport: Day 4 - Commonwealth Games #GC2018 

Rhys McClenaghan secured Northern Ireland's first medal of the 2018 Commonwealth Games 🏅…",0.7003,0.0,0.746,0.254,68
68,BBC,Sun Apr 08 12:13:48 +0000 2018,Tony Blair believes NI deal 'still possible' but warns over Brexit https://t.co/2fh7fSuWfN,-0.1531,0.127,0.873,0.0,69
69,BBC,Sun Apr 08 10:58:31 +0000 2018,Man injured wrestling Derbyshire ram calls it 'public nuisance' https://t.co/jATTw9Hj9s,-0.4019,0.231,0.769,0.0,70
70,BBC,Sun Apr 08 10:53:09 +0000 2018,Prince Charles reunited with fan who stole a kiss https://t.co/15fUOzfqr6,0.6249,0.0,0.579,0.421,71
71,BBC,Sun Apr 08 10:53:07 +0000 2018,Angela Rayner 'frustrated' over Labour anti-Semitism action https://t.co/J60EFbhlMj,0.0,0.0,1.0,0.0,72
72,BBC,Sun Apr 08 10:41:44 +0000 2018,Arrests after Manchester City v Manchester United derby brawl https://t.co/zkSYfZJvlq,-0.0258,0.228,0.551,0.22,73
73,BBC,Sun Apr 08 10:21:22 +0000 2018,"RT @BBCNewsNI: Meet the County Down woman who's the Dr Dolittle of the ocean
https://t.co/79W82ys7Av https://t.co/JyW6A42ZJa",0.0,0.0,1.0,0.0,74
74,BBC,Sun Apr 08 10:17:06 +0000 2018,Sarah Montague 'incandescent with rage' over BBC Radio 4 pay https://t.co/A9PmIUzo8Z,-0.6124,0.385,0.615,0.0,75
75,BBC,Sun Apr 08 09:48:26 +0000 2018,"RT @BBCSport: WHAT. A. SWIM!!! 🥇🥇🥇

Scotland's Duncan Scott takes the GOLD in the Men's 100m freestyle final! 

👉  https://t.co/WUhxF51QaY…",0.4344,0.0,0.863,0.137,76
76,BBC,Sun Apr 08 09:48:12 +0000 2018,"RT @BBCSport: It's a Games record for Kylie Masse - and a Canadian one-two in the women's 200m backstroke.

Compatriot Taylor Ruck takes he…",0.0,0.0,1.0,0.0,77
77,BBC,Sun Apr 08 09:48:05 +0000 2018,"RT @BBCSportWales: It's a silver medal for Wales' Laura Daniels!

New Zealand's Jo Edwards comes from behind to win the lawn bowls women's…",0.8016,0.0,0.736,0.264,78
78,BBC,Sun Apr 08 09:41:33 +0000 2018,Government to crack down on 'rogue' estate agents https://t.co/s26Dob1oVY,0.0,0.0,1.0,0.0,79
79,BBC,Sun Apr 08 09:37:10 +0000 2018,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",0.875,0.0,0.607,0.393,80
80,BBC,Sun Apr 08 09:09:59 +0000 2018,"Government is tackling violent crime says Communities Secretary @sajidjavid, announcing details for new Offensive W… https://t.co/cYLI53Cipe",-0.886,0.444,0.556,0.0,81
81,BBC,Sun Apr 08 09:03:56 +0000 2018,Commonwealth Games: Jamell Anderson and Georgia Jones get engaged on court https://t.co/b8Ot01unS2,0.4019,0.0,0.803,0.197,82
82,BBC,Sun Apr 08 08:55:33 +0000 2018,"""Targeting stop and search rather than just randomly going around saying you look like a gang member"" Shadow educat… https://t.co/y380ZOoN4N",0.0772,0.101,0.783,0.115,83
83,BBC,Sun Apr 08 08:35:04 +0000 2018,Woman held after man stabbed in north London https://t.co/j8p0CvUSgP,-0.4404,0.266,0.734,0.0,84
84,BBC,Sun Apr 08 08:34:59 +0000 2018,Olivier Awards: Could Hamilton get a record haul? https://t.co/soiJzm1Q77,0.4588,0.0,0.7,0.3,85
85,BBC,Sun Apr 08 08:03:28 +0000 2018,"RT @BBCEngland: Hundreds of people have been ""sticking their tongues out at cancer"" in support of a four-year-old girl who was diagnosed wi…",-0.4019,0.162,0.738,0.1,86
86,BBC,Sun Apr 08 07:27:39 +0000 2018,"RT @BBCSport: The first Home Nations gold of day four went to Scotland! 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏅

Congrats to the men's triple lawn bowls team 👏👉 https://t…",0.5707,0.0,0.862,0.138,87
87,BBC,Sun Apr 08 06:21:59 +0000 2018,"RT @BBCSport: 🥇 Northern Ireland win their first medal! 🥇 👏

Rhys McClenaghan takes GOLD in the men's pommel horse! 

At the age of 18! Inc…",0.8306,0.0,0.73,0.27,88
88,BBC,Sun Apr 08 06:21:36 +0000 2018,"RT @BBCSport: Commonwealth Games #GC2018 

So far on Day 4 (07:00 BST)

England 🥇🥈🥈
Scotland 🥇🥉🥉
Wales 🥉
Northern Ireland

England's Nick M…",0.0,0.0,1.0,0.0,89
89,BBC,Sun Apr 08 04:44:33 +0000 2018,"Corbyn is 'Kremlin's useful idiot', says Boris Johnson https://t.co/bCuDT2nL2O",0.4404,0.0,0.734,0.266,90
90,BBC,Sun Apr 08 02:19:11 +0000 2018,Sturgeon aims to boost Scots-China trade with visit https://t.co/tMOswK7WrA,0.4019,0.0,0.748,0.252,91
91,BBC,Sun Apr 08 02:16:27 +0000 2018,Saturday Night Takeaway: Applause for McPartlin at finale https://t.co/2VGXGDmyeI,0.4215,0.0,0.741,0.259,92
92,BBC,Sun Apr 08 01:58:58 +0000 2018,'Enough police' to tackle violence rise - Amber Rudd https://t.co/eWiYkYydDg,-0.6249,0.339,0.661,0.0,93
93,BBC,Sun Apr 08 00:51:53 +0000 2018,Ipswich Hospital reviews policy after Ed Sheeran visit https://t.co/KsozKXQO16,0.0,0.0,1.0,0.0,94
94,BBC,Sat Apr 07 23:42:10 +0000 2018,Legal costs halt thousands of domestic violence cases https://t.co/FDgrK40hB2,-0.5574,0.325,0.556,0.119,95
95,BBC,Sat Apr 07 23:42:10 +0000 2018,Masters 2018: Patrick Reed leads Rory McIlroy by three into final round https://t.co/wCX3WX0tVj,0.0,0.0,1.0,0.0,96
96,BBC,Sat Apr 07 23:08:39 +0000 2018,Peter Kay stage appearance delights Car Share fans https://t.co/PoEbeSjxlR,0.6369,0.0,0.574,0.426,97
97,BBC,Sat Apr 07 18:33:29 +0000 2018,Manchester City 2-3 Manchester United https://t.co/fe2a9S6RAn,0.4215,0.0,0.641,0.359,98
98,BBC,Sat Apr 07 17:59:28 +0000 2018,Murder charge over Israel Ogunsola Hackney stabbing https://t.co/sOHZFOtzJs,-0.6908,0.402,0.598,0.0,99
99,BBC,Sat Apr 07 17:03:57 +0000 2018,"RT @BBCSport: GOAL! Man City 2-0 Man Utd  

Ilkay Gundogan takes a turn in the box ad leaves David de Gea with no chance.

👉 https://t.co/N…",-0.126,0.094,0.83,0.075,100
100,CBS,Mon Apr 09 22:28:00 +0000 2018,"RT @CBSEveningNews: COMING UP TONIGHT 

- We'll have more on today's FBI raid on the office of the president's personal attorney

- The pre…",0.0,0.0,1.0,0.0,1
101,CBS,Mon Apr 09 22:19:00 +0000 2018,"Fox News host Laura Ingraham returns from a one-week vacation tonight to ""The Ingraham Angle,"" a show that now has… https://t.co/4ilJ5QrtFz",0.0,0.0,1.0,0.0,2
102,CBS,Mon Apr 09 22:04:21 +0000 2018,Senator Tammy Duckworth (D-IL) has just become the first senator in U.S. history to give birth while in office.… https://t.co/jG29miWa49,0.0,0.0,1.0,0.0,3
103,CBS,Mon Apr 09 21:41:26 +0000 2018,"FBI agents stormed not only Michael Cohen's office, but also his New York residence, seizing documents and other ma… https://t.co/kmb7rIlN1i",0.0,0.0,1.0,0.0,4
104,CBS,Mon Apr 09 21:21:49 +0000 2018,Los Angeles is painting some of its roads white and the reasons why are pretty cool -- literally.… https://t.co/BOh7mk3KNH,0.6705,0.0,0.756,0.244,5
105,CBS,Mon Apr 09 20:54:07 +0000 2018,"""Whether this is related to the [special counsel] Mueller investigation or the Stormy Daniels case, it looks like t… https://t.co/mK9HYlN66B",0.3612,0.0,0.884,0.116,6
106,CBS,Mon Apr 09 20:37:01 +0000 2018,"NEW: ""The decision by the US Attorney’s Office in New York to conduct their investigation using search warrants is… https://t.co/W3P2jNWtLH",0.0,0.0,1.0,0.0,7
107,CBS,Mon Apr 09 20:35:49 +0000 2018,"MORE: ""It is unclear whether this is stemming from the Mueller investigation, whether it has anything to do with th… https://t.co/B8Tn8dX26z",-0.4448,0.128,0.872,0.0,8
108,CBS,Mon Apr 09 20:32:27 +0000 2018,"""We did learn that the seizure by FBI and law enforcement was under a court authorized warrant that was obtained in… https://t.co/hDtpV7saE4",0.0,0.0,1.0,0.0,9
109,CBS,Mon Apr 09 20:28:16 +0000 2018,MORE: Law enforcement agents conducted searches today at the New York office and New York residence of Trump person… https://t.co/yxNf1Qoeil,0.0,0.0,1.0,0.0,10
110,CBS,Mon Apr 09 20:26:01 +0000 2018,MORE: Federal prosecutors in Manhattan obtained search warrant for Michael Cohen's office after special counsel in… https://t.co/EX9UTJPiRi,0.4019,0.0,0.856,0.144,11
111,CBS,Mon Apr 09 20:19:29 +0000 2018,"NEW: FBI agents raid office of Michael Cohen, Pres. Trump's personal lawyer, according to New York Times report.… https://t.co/gpvCqz388d",0.0,0.0,1.0,0.0,12
112,CBS,Mon Apr 09 20:06:45 +0000 2018,U.S. Ambassador Nikki Haley speaks at UN Security Council emergency meeting in wake of suspected chemical attack in… https://t.co/MnnI2tTN6A,-0.6369,0.304,0.6,0.096,13
113,CBS,Mon Apr 09 20:00:02 +0000 2018,"Sen. Tammy Duckworth (D-IL) became the first sitting U.S. senator to give birth while holding office, with the deli… https://t.co/KLjDFjxvAV",0.0,0.0,1.0,0.0,14
114,CBS,Mon Apr 09 19:40:01 +0000 2018,U.N. Security Council holds emergency meeting after suspected chemical attack in Syria. https://t.co/8AoewaCf7J https://t.co/6Dpp0lPDwR,-0.6369,0.38,0.5,0.12,15
115,CBS,Mon Apr 09 19:30:02 +0000 2018,Four teens charged with throwing a sandbag from a Toledo overpass and causing the death of a car passenger have bee… https://t.co/7LNjKtX21z,-0.6908,0.251,0.749,0.0,16
116,CBS,Mon Apr 09 19:25:31 +0000 2018,"Saddam Hussein's statue toppled over 15 years ago today, becoming one of the most iconic moments of the Iraq war. https://t.co/4tUb83yfeR",-0.5994,0.163,0.837,0.0,17
117,CBS,Mon Apr 09 19:17:19 +0000 2018,"""I'm not going to get ahead once again of any actions that he U.S. may or may not take, but I think the president h… https://t.co/m7LHjrJmoM",0.0,0.0,1.0,0.0,18
118,CBS,Mon Apr 09 19:13:41 +0000 2018,"Reporter: Did chief of staff John Kelly recommend that [EPA administrator] Pruitt be fired. 

@PressSec: I'm not go… https://t.co/DA7Ts9i09R",-0.2732,0.156,0.736,0.108,19
119,CBS,Mon Apr 09 19:11:51 +0000 2018,"""He's asked the department of agriculture to protect our farmers and will present a plan on specifics of that short… https://t.co/dV8XxHwqP9",0.3818,0.0,0.88,0.12,20
120,CBS,Mon Apr 09 19:05:37 +0000 2018,"""The point of view that matters most here at the White House, as you well know, is the president's,"" @PressSec says… https://t.co/YYwlKcrZpM",0.296,0.0,0.862,0.138,21
121,CBS,Mon Apr 09 18:59:58 +0000 2018,"""We're still there, and I think that it is outrageous to say that the president has green-lit actions that have tak… https://t.co/0gHMGtbcrF",-0.4588,0.13,0.87,0.0,22
122,CBS,Mon Apr 09 18:56:04 +0000 2018,"""I can only speak on behalf of this government. For questions on that, I would refer you outside. At this time, the… https://t.co/5mXmVK5agz",0.0,0.0,1.0,0.0,23
123,CBS,Mon Apr 09 18:51:39 +0000 2018,WATCH NOW: White House briefing underway as U.S. considers possible military retaliation over suspected chemical at… https://t.co/QYIafgxKtA,-0.2263,0.106,0.894,0.0,24
124,CBS,Mon Apr 09 18:50:41 +0000 2018,The Giants added a special player to their roster on Sunday -- an 8-year-old girl named Hailey who threw out the fi… https://t.co/8sHveDxHpt,0.4019,0.0,0.886,0.114,25
125,CBS,Mon Apr 09 18:49:45 +0000 2018,".@SenDuckworth gives birth to baby girl, becomes first U.S. senator to give birth while in office.… https://t.co/0ydTqqQao3",0.0,0.0,1.0,0.0,26
126,CBS,Mon Apr 09 18:35:01 +0000 2018,Arizona Gov. Doug Ducey says 225 National Guard members are heading to the Mexico border to back President Trump's… https://t.co/ye5BCOJ12L,0.0,0.0,1.0,0.0,27
127,CBS,Mon Apr 09 18:20:01 +0000 2018,Lawyers representing President Donald Trump's family hotel business appealed to Panama's president for help days be… https://t.co/Y5AWfsMHMt,0.4019,0.0,0.856,0.144,28
128,CBS,Mon Apr 09 18:03:28 +0000 2018,Fox News' Sean Hannity says he will address comments by ABC late-night comic Jimmy Kimmel on his show Monday night… https://t.co/lgp4llLFPb,0.0,0.0,1.0,0.0,29
129,CBS,Mon Apr 09 17:45:02 +0000 2018,"Hockey player's body misidentified in bus crash, Canadian officials say https://t.co/rVRHxEiaXV https://t.co/fhUKF4Iwzw",-0.4019,0.197,0.803,0.0,30
130,CBS,Mon Apr 09 17:30:49 +0000 2018,@CBSNews Reporter: Would you like to see executives from Google and Twitter and other tech companies come testify?… https://t.co/cBQv3EWrPr,0.3612,0.0,0.878,0.122,31
131,CBS,Mon Apr 09 17:30:33 +0000 2018,"On defensive amid Cambridge Analytica controversy, Facebook announces an independent ""election research commission""… https://t.co/pzJfe0uVwa",0.0258,0.0,0.922,0.078,32
132,CBS,Mon Apr 09 17:23:58 +0000 2018,"@CBSNews ""My sense is that he takes it seriously because he knows that there is going to be a hard look at regulati… https://t.co/Z6AyGIziEk",-0.2732,0.129,0.871,0.0,33
133,CBS,Mon Apr 09 17:19:34 +0000 2018,MOMENTS AGO: Sen. Bill Nelson (D-FL) discusses meeting with Facebook CEO Mark Zuckerberg ahead of his congressional… https://t.co/R7JfdgovvL,0.0,0.0,1.0,0.0,34
134,CBS,Mon Apr 09 17:15:32 +0000 2018,"Topless protestor charges Bill Cosby with ""Women's Lives Matter"" painted on her chest https://t.co/V6Mg4WIXcC https://t.co/Bi15PvmamV",-0.25,0.13,0.802,0.068,35
135,CBS,Mon Apr 09 17:01:01 +0000 2018,Former manager says he warned Facebook about potential privacy risks in 2012 https://t.co/8ZNoas1iFj https://t.co/M6NqfugA48,-0.4939,0.259,0.741,0.0,36
136,CBS,Mon Apr 09 16:45:55 +0000 2018,"""Tony Robbins, if you talk to more SURVIVORS and less sexist businessmen maybe you'll understand what we want,""… https://t.co/KiBOv1rlhq",0.0,0.0,1.0,0.0,37
137,CBS,Mon Apr 09 16:15:01 +0000 2018,Pres. Trump confers with military on suspected gas attack in Syria https://t.co/25vr1d7xPe https://t.co/TrdrCYuFAp,-0.6124,0.312,0.688,0.0,38
